kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_steff,koi_slogg,koi_srad,label
10684670,K02317.01,CONFIRMED,3.78861833,2.808,143.4,1.23,18.2,5560.0,4.379,1.04,planet_transit
11495458,K02318.01,CONFIRMED,10.45839865,3.154,306.8,1.25,18.6,4641.0,4.557,0.747,planet_transit
9003401,K02319.01,CONFIRMED,21.1033014,2.059,192.5,1.56,21.3,6000.0,4.363,1.126,planet_transit
5978559,K02321.01,CONFIRMED,95.6114617,7.489,487.4,2.37,21.6,6002.0,4.424,1.081,planet_transit
6768394,K02086.03,CONFIRMED,11.8984948,3.015,130.9,1.69,15.9,5862.0,4.194,1.307,planet_transit
6922710,K02087.01,CONFIRMED,23.1274171,4.901,157.3,1.44,20.9,5865.0,4.393,1.066,planet_transit
11348997,K02090.01,CONFIRMED,5.132486123,1.4575,908.4,1.69,35.4,3879.0,4.707,0.578,planet_transit
5705819,K02091.01,CONFIRMED,8.77997349,3.2201,755.7,2.12,32.7,5191.0,4.597,0.764,planet_transit
6696580,K02092.01,CONFIRMED,57.6896212,5.118,1626.6,5.14,30.2,6228.0,4.441,1.049,planet_transit
11358389,K02163.01,CONFIRMED,10.66489514,3.159,292.6,1.76,25.3,6014.0,4.436,1.021,planet_transit
7204981,K02164.01,CONFIRMED,5.1233204,2.7466,286.2,1.65,25.1,5364.0,4.394,0.982,planet_transit
3847907,K00229.01,CONFIRMED,3.573202801,2.88,2975.0,5.81,362.1,5646.0,4.37,1.08,planet_transit
4370527,K02166.01,CONFIRMED,61.6174528,3.816,1350.7,3.36,19.5,5480.0,4.485,0.931,planet_transit
6041734,K02167.01,CONFIRMED,24.3398202,3.891,777.3,5.09,27.8,5596.0,4.105,1.466,planet_transit
5125347,K02241.01,CONFIRMED,7.16520428,1.705,433.8,2.31,17.6,6174.0,4.417,1.103,planet_transit
9336200,K02242.01,CONFIRMED,1.755843555,1.9425,386.0,1.94,25.1,5569.0,4.566,0.829,planet_transit
4770617,K02243.01,CONFIRMED,5.18560081,4.054,252.6,2.34,27.6,6172.0,4.198,1.471,planet_transit
4454934,K02245.01,CONFIRMED,33.4698571,4.749,370.7,2.45,23.2,5912.0,4.342,1.094,planet_transit
9458343,K02246.01,CONFIRMED,11.89520436,3.433,184.3,1.33,22.3,5649.0,4.411,0.992,planet_transit
7120108,K02325.01,CONFIRMED,1.025857984,0.8069,270.7,1.57,36.0,5123.0,4.501,0.847,planet_transit
10730703,K02327.01,CONFIRMED,5.60013327,2.6508,329.2,1.73,22.8,5288.0,4.391,0.978,planet_transit
8007644,K02328.01,CONFIRMED,25.2034128,4.515,697.1,2.42,22.3,5831.0,4.517,0.921,planet_transit
11192235,K02329.01,CONFIRMED,1.615357809,1.1435,499.6,1.37,31.2,3821.0,4.755,0.486,planet_transit
6383785,K00239.01,CONFIRMED,5.640676975,2.8354,1453.3,4.59,145.9,5794.0,4.282,1.216,planet_transit
6696580,K02092.02,CONFIRMED,25.5638626,4.685,1124.9,4.0,31.6,6228.0,4.441,1.049,planet_transit
4249725,K00222.02,CONFIRMED,12.7945474,3.4197,816.7,1.6,54.1,4090.0,4.696,0.571,planet_transit
8505920,K02094.01,CONFIRMED,42.4269647,5.907,632.4,3.44,26.0,5330.0,4.366,1.013,planet_transit
7918992,K02095.01,CONFIRMED,1.434745129,1.862,200.7,1.5,28.4,5806.0,4.4,1.064,planet_transit
11308499,K02168.01,CONFIRMED,3.28192056,2.917,191.0,1.6,24.5,5859.0,4.335,1.162,planet_transit
11308499,K02168.02,CONFIRMED,12.51610549,4.853,263.0,1.87,22.6,5859.0,4.335,1.162,planet_transit
9006186,K02169.01,CONFIRMED,5.45298742,2.1328,86.0,0.92,21.0,5450.0,4.563,0.842,planet_transit
9006186,K02169.02,CONFIRMED,3.26662733,2.056,59.9,0.68,18.6,5450.0,4.563,0.842,planet_transit
7802719,K02247.01,CONFIRMED,4.45743267,2.3226,175.7,0.79,20.8,4487.0,4.644,0.612,planet_transit
11030475,K02248.01,CONFIRMED,2.81814715,1.763,278.6,1.3,16.5,5167.0,4.555,0.787,planet_transit
5023956,K00233.01,FALSE POSITIVE,1.824649,4.2285,3218.5,5.31,184.3,6190.0,4.487,0.793,false_positive
12401863,K02331.01,CONFIRMED,2.832647249,2.306,114.7,1.37,27.5,5865.0,4.266,1.272,planet_transit
